[2019-02-25 21:12:11,497][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:12:26,469][INFO][epoch:90	loss:tensor(0.2308, device='cuda:0')]
[2019-02-25 21:12:26,865][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:12:42,055][INFO][epoch:91	loss:tensor(0.2305, device='cuda:0')]
[2019-02-25 21:12:42,455][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:12:57,438][INFO][epoch:92	loss:tensor(0.2317, device='cuda:0')]
[2019-02-25 21:12:57,862][INFO][LCC:tensor(nan, grad_fn=<DivBackward1>)]
[2019-02-25 21:13:12,941][INFO][epoch:93	loss:tensor(0.2342, device='cuda:0')]
[2019-02-25 21:13:13,340][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:13:28,285][INFO][epoch:94	loss:tensor(0.2299, device='cuda:0')]
[2019-02-25 21:13:28,690][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:13:43,798][INFO][epoch:95	loss:tensor(0.2305, device='cuda:0')]
[2019-02-25 21:13:44,211][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:13:59,233][INFO][epoch:96	loss:tensor(0.2249, device='cuda:0')]
[2019-02-25 21:13:59,661][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:14:14,687][INFO][epoch:97	loss:tensor(0.2272, device='cuda:0')]
[2019-02-25 21:14:15,099][INFO][LCC:tensor(5.5829e-07, grad_fn=<DivBackward1>)]
[2019-02-25 21:14:30,081][INFO][epoch:98	loss:tensor(0.2274, device='cuda:0')]
[2019-02-25 21:14:30,488][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
[2019-02-25 21:14:45,475][INFO][epoch:99	loss:tensor(0.2286, device='cuda:0')]
[2019-02-25 21:14:45,872][INFO][LCC:tensor(-0.0000, grad_fn=<DivBackward1>)]
